datetime,value,areaAnalisi
2024-09-15 17:30:00,7389,Cagliari - 012
2024-09-15 17:30:00,20342,Cagliari - 011
2024-09-15 17:30:00,15452,Cagliari - 002
2024-09-15 17:30:00,19627,Cagliari - 000
2024-09-15 17:30:00,3307,Cagliari - 003
2024-09-15 17:30:00,11677,Cagliari - 005
2024-09-15 17:30:00,23805,Cagliari - 001
2024-09-15 17:15:00,182521,Intero Comune
2024-09-15 17:15:00,20910,Cagliari - 010
2024-09-15 17:15:00,15795,Cagliari - 004
2024-09-15 17:15:00,15467,Cagliari - 009
2024-09-15 17:15:00,10627,Cagliari - 008
2024-09-15 17:15:00,9878,Cagliari - 006
2024-09-15 17:15:00,8664,Cagliari - 007
2024-09-15 17:15:00,7617,Cagliari - 012
2024-09-15 17:15:00,19024,Cagliari - 011
2024-09-15 17:15:00,15474,Cagliari - 002
2024-09-15 17:15:00,19940,Cagliari - 000
2024-09-15 17:15:00,3369,Cagliari - 003
2024-09-15 17:15:00,11678,Cagliari - 005
2024-09-15 17:15:00,24078,Cagliari - 001
2024-09-15 17:00:00,181869,Intero Comune
2024-09-15 17:00:00,20911,Cagliari - 010
2024-09-15 17:00:00,15709,Cagliari - 004
2024-09-15 17:00:00,15607,Cagliari - 009
2024-09-15 17:00:00,10711,Cagliari - 008
2024-09-15 17:00:00,9892,Cagliari - 006
2024-09-15 17:00:00,8543,Cagliari - 007
2024-09-15 17:00:00,8057,Cagliari - 012
2024-09-15 17:00:00,17076,Cagliari - 011
2024-09-15 17:00:00,15403,Cagliari - 002
2024-09-15 17:00:00,20154,Cagliari - 000
2024-09-15 17:00:00,3389,Cagliari - 003
2024-09-15 17:00:00,11785,Cagliari - 005
2024-09-15 17:00:00,24632,Cagliari - 001
2024-09-15 16:45:00,179674,Intero Comune
2024-09-15 16:45:00,19975,Cagliari - 010
2024-09-15 16:45:00,15703,Cagliari - 004
2024-09-15 16:45:00,15452,Cagliari - 009
2024-09-15 16:45:00,10685,Cagliari - 008
2024-09-15 16:45:00,9766,Cagliari - 006
2024-09-15 16:45:00,8558,Cagliari - 007
2024-09-15 16:45:00,8259,Cagliari - 012
2024-09-15 16:45:00,14959,Cagliari - 011
2024-09-15 16:45:00,15480,Cagliari - 002
2024-09-15 16:45:00,20206,Cagliari - 000
2024-09-15 16:45:00,3396,Cagliari - 003
2024-09-15 16:45:00,11825,Cagliari - 005
2024-09-15 16:45:00,25410,Cagliari - 001
2024-09-15 16:30:00,177926,Intero Comune
2024-09-15 16:30:00,19080,Cagliari - 010
2024-09-15 16:30:00,15637,Cagliari - 004
2024-09-15 16:30:00,15507,Cagliari - 009
2024-09-15 16:30:00,10789,Cagliari - 008
2024-09-15 16:30:00,9655,Cagliari - 006
2024-09-15 16:30:00,8584,Cagliari - 007
2024-09-15 16:30:00,8605,Cagliari - 012
2024-09-15 16:30:00,13703,Cagliari - 011
2024-09-15 16:30:00,15182,Cagliari - 002
2024-09-15 16:30:00,20210,Cagliari - 000
2024-09-15 16:30:00,3393,Cagliari - 003
2024-09-15 16:30:00,11847,Cagliari - 005
2024-09-15 16:30:00,25734,Cagliari - 001
2024-09-15 16:15:00,176203,Intero Comune
2024-09-15 16:15:00,18518,Cagliari - 010
2024-09-15 16:15:00,15724,Cagliari - 004
2024-09-15 16:15:00,15221,Cagliari - 009
2024-09-15 16:15:00,10622,Cagliari - 008
2024-09-15 16:15:00,9769,Cagliari - 006
2024-09-15 16:15:00,8506,Cagliari - 007
2024-09-15 16:15:00,8561,Cagliari - 012
2024-09-15 16:15:00,12898,Cagliari - 011
