"Time","Sensor1","Sensor2","Sensor3"
2024-08-04 19:00:00,14,16,
2024-08-04 19:10:00,13,12,8
2024-08-04 19:20:00,14,15,10
2024-08-04 19:30:00,15,17,
2024-08-04 19:40:00,11,15,11
2024-08-04 19:50:00,11,14,11
2024-08-04 20:00:00,15,18,13
2024-08-04 20:10:00,14,17,15
2024-08-04 20:20:00,17,17,10
2024-08-04 20:30:00,16,23,14
2024-08-04 20:40:00,8.5,18,13
2024-08-04 20:50:00,12,14,17
2024-08-04 21:00:00,16,22,12
2024-08-04 21:10:00,17,16,17
2024-08-04 21:20:00,14,15,13
2024-08-04 21:30:00,16,14,14
2024-08-04 21:40:00,19,15,11
2024-08-04 21:50:00,14,19,16
2024-08-04 22:00:00,17,16,12
2024-08-04 22:10:00,14,19,
2024-08-04 22:20:00,19,18,16
2024-08-04 22:30:00,18,26,15
2024-08-04 22:40:00,14,17,13
2024-08-04 22:50:00,16,22,15
2024-08-04 23:00:00,12,19,14
2024-08-04 23:10:00,17,19,13
2024-08-04 23:20:00,20,20,12
2024-08-04 23:30:00,20,20,17
2024-08-04 23:40:00,15,16,
2024-08-04 23:50:00,17,13,14
2024-08-05 00:00:00,16,16,
2024-08-05 00:10:00,14,19,19
2024-08-05 00:20:00,15,24,11
2024-08-05 00:30:00,17,23,11
2024-08-05 00:40:00,17,18,18
2024-08-05 00:50:00,17,17,13
2024-08-05 01:00:00,18,19,13
2024-08-05 01:10:00,18,17,15
2024-08-05 01:20:00,19,15,15
2024-08-05 01:30:00,13,17,16
2024-08-05 01:40:00,16,19,16
2024-08-05 01:50:00,11,15,20
2024-08-05 02:00:00,15,16,19
2024-08-05 02:10:00,18,25,19
2024-08-05 02:20:00,23,27,17
2024-08-05 02:30:00,21,20,15
2024-08-05 02:40:00,13,21,17
2024-08-05 02:50:00,20,17,16
2024-08-05 03:00:00,18,16,16
2024-08-05 03:10:00,17,21,15
2024-08-05 03:20:00,21,20,12
2024-08-05 03:30:00,19,20,
2024-08-05 03:40:00,22,16,13
2024-08-05 03:50:00,14,23,
2024-08-05 04:00:00,16,19,20
2024-08-05 04:10:00,21,22,15
2024-08-05 04:20:00,15,29,15
2024-08-05 04:30:00,18,28,10
2024-08-05 04:40:00,16,22,13
2024-08-05 04:50:00,17,20,14
2024-08-05 05:00:00,22,19,14
2024-08-05 05:10:00,15,15,15
2024-08-05 05:20:00,16,19,
2024-08-05 05:30:00,19,22,10
2024-08-05 05:40:00,16,16,16
2024-08-05 05:50:00,15,22,22
2024-08-05 06:00:00,18,21,15
2024-08-05 06:10:00,14,21,18
2024-08-05 06:20:00,18,21,14
2024-08-05 06:30:00,14,25,17
2024-08-05 06:40:00,,24,14
2024-08-05 06:50:00,20,15,14
2024-08-05 07:00:00,13,18,13
2024-08-05 07:10:00,23,19,17
2024-08-05 07:20:00,19,20,18
2024-08-05 07:30:00,18,18,19
2024-08-05 07:40:00,18,20,16
2024-08-05 07:50:00,14,22,11
2024-08-05 08:00:00,13,19,14
2024-08-05 08:10:00,,18,15
2024-08-05 08:20:00,9.4,24,10
2024-08-05 08:30:00,16,21,9.9
2024-08-05 08:40:00,12,14,13
2024-08-05 08:50:00,17,11,13
2024-08-05 09:00:00,15,17,13
2024-08-05 09:10:00,16,17,8.8
2024-08-05 09:20:00,15,23,11
2024-08-05 09:30:00,16,23,14
2024-08-05 09:40:00,15,15,15
2024-08-05 09:50:00,10,26,8.8
2024-08-05 10:00:00,19,27,12
2024-08-05 10:10:00,9,15,9.5
2024-08-05 10:20:00,12,25,10
2024-08-05 10:30:00,10,16,9.1
2024-08-05 10:40:00,15,12,8.7
2024-08-05 10:50:00,9.7,13,11
2024-08-05 11:00:00,8.3,12,9.9
2024-08-05 11:10:00,7.1,9.1,11
2024-08-05 11:20:00,14,8.8,11
2024-08-05 11:30:00,12,11,
2024-08-05 11:40:00,9.8,13,7
2024-08-05 11:50:00,13,10,8.8
2024-08-05 12:00:00,6.6,10,7.2
2024-08-05 12:10:00,5.8,10,10
2024-08-05 12:20:00,6,14,8.5
2024-08-05 12:30:00,8.5,12,8.3
2024-08-05 12:40:00,7.9,13,14
2024-08-05 12:50:00,8.8,14,9.3
2024-08-05 13:00:00,7.5,11,12
2024-08-05 13:10:00,11,8.7,9.4
